T;Ax;Ay;Az;CLASS
29776.00;-0.22;-0.14;1.03;Negative
29825.00;-0.15;0.28;2.00;Negative
29876.00;-0.26;0.33;1.52;Negative
29925.00;-0.36;0.31;1.23;Negative
29976.00;-1.03;0.50;0.16;Positive
30027.00;-0.49;0.23;0.32;Positive
30076.00;0.55;-0.56;0.12;Positive
30126.00;1.88;-0.47;1.08;Positive
30192.00;1.33;-0.32;1.80;Positive
30242.00;-0.13;-0.20;1.10;Positive
30292.00;-2.00;0.37;0.03;Positive
30342.00;-1.41;0.44;1.29;Positive
30392.00;0.92;0.33;1.40;Positive
30442.00;1.98;-0.02;2.00;Positive
30492.00;1.40;-0.16;1.77;Positive
30543.00;-0.13;-0.01;-0.05;Positive
30592.00;-2.00;0.55;-0.46;Positive
30642.00;-1.47;-0.02;1.29;Positive
30691.00;-0.05;0.07;1.59;Positive
30742.00;1.17;-0.01;2.00;Positive
30791.00;1.55;-0.07;1.95;Positive
30842.00;0.93;0.31;0.38;Positive
30892.00;-0.26;0.29;-0.23;Positive
30942.00;-1.71;0.14;0.12;Positive
31010.00;-1.50;-0.29;1.29;Positive
31044.00;0.17;-0.01;1.96;Positive
31108.00;1.77;0.51;2.00;Positive
31158.00;1.56;0.02;1.43;Positive
31208.00;0.88;0.47;0.02;Positive
31260.00;-0.87;0.04;-0.09;Positive
31308.00;-1.72;-0.16;0.29;Positive
31360.00;-0.88;-0.41;1.26;Positive
31410.00;0.46;-0.23;2.00;Positive
31457.00;1.09;0.04;2.00;Positive
31510.00;1.38;0.03;1.63;Positive
31558.00;0.77;0.24;0.27;Positive
31609.00;-0.34;0.28;-0.17;Positive
31659.00;-1.56;-0.20;0.31;Positive
31709.00;-0.99;-0.58;1.49;Positive
31777.00;0.36;-0.54;2.00;Positive
31824.00;1.29;-0.18;1.58;Positive
31875.00;1.48;-0.08;1.10;Positive
31924.00;0.38;-0.33;0.65;Positive
31974.00;-0.83;0.41;-0.23;Positive
32023.00;-1.75;-0.68;0.12;Positive
32074.00;-0.79;-0.87;0.69;Positive
32123.00;0.07;-1.15;1.83;Positive
32174.00;1.10;-0.83;2.00;Positive
32223.00;0.76;-0.79;1.98;Positive
32273.00;0.38;-0.12;0.49;Positive
32324.00;0.03;0.40;-0.39;Positive
32374.00;-1.31;0.04;-0.93;Positive
32423.00;-1.11;-0.51;-0.94;Positive
