T;Ax;Ay;Az;CLASS
28032.00;-0.02;0.01;1.02;
28083.00;-0.00;0.00;1.01;
28131.00;-0.01;0.01;1.02;
28182.00;-0.00;0.01;1.02;
28230.00;-0.01;-0.01;1.02;
28284.00;-0.01;0.01;1.03;
28334.00;-0.01;0.00;1.03;
28386.00;-0.01;-0.01;1.02;
28433.00;-0.00;0.00;1.03;
28485.00;-0.00;-0.01;1.03;
28550.00;-0.00;-0.00;1.02;
28600.00;-0.00;-0.01;1.03;
28650.00;-0.01;-0.01;1.02;
28699.00;-0.01;-0.00;1.03;
28749.00;0.00;-0.00;1.02;
28799.00;-0.01;0.00;1.03;
28849.00;-0.00;0.01;1.02;
28899.00;-0.01;0.00;1.03;
28950.00;-0.00;0.01;1.02;
28998.00;-0.02;-0.01;1.04;
29048.00;-0.00;-0.00;1.02;
29097.00;-0.01;0.00;1.02;
29149.00;-0.01;-0.00;1.03;
29197.00;-0.02;0.01;1.03;
29263.00;-0.00;0.01;1.02;
29318.00;-0.01;0.00;1.03;
29351.00;-0.01;-0.01;1.03;
29418.00;-0.01;-0.00;1.02;
29466.00;-0.01;0.00;1.03;
29518.00;-0.02;-0.00;1.03;
29565.00;-0.01;0.01;1.02;
29616.00;0.00;0.00;1.03;
29664.00;-0.01;-0.00;1.03;
29717.00;0.00;-0.00;1.03;
29765.00;0.00;0.00;1.03;
29815.00;-0.02;-0.00;1.03;
29863.00;-0.01;0.01;1.03;
29913.00;0.01;-0.00;1.02;
29964.00;-0.00;-0.01;1.02;
30030.00;0.01;0.02;0.98;Positive
30066.00;0.02;-0.00;0.99;Positive
30116.00;-0.05;0.31;1.07;Positive
30184.00;-0.27;-0.59;1.11;Positive
30230.00;-0.05;-0.02;0.95;Positive
30280.00;-0.09;-0.06;1.31;Positive
30327.00;0.45;0.04;1.23;Positive
30380.00;0.39;0.08;1.72;Positive
30428.00;0.02;0.17;1.16;Positive
30480.00;-0.02;0.03;0.80;Positive
30530.00;-0.10;-0.00;0.55;Positive
30581.00;-0.16;-0.04;0.33;Positive
30632.00;-0.16;0.09;0.10;Positive
30684.00;-0.03;0.09;0.36;Positive
30732.00;0.01;-0.00;0.80;Positive
30780.00;-0.08;-0.13;1.40;Positive
30831.00;-0.11;-0.02;1.70;Positive
30884.00;-0.06;-0.16;2.00;Positive
30932.00;-0.06;0.01;1.55;Positive
30984.00;-0.03;0.09;1.05;Positive
31048.00;-0.06;0.06;0.62;Positive
31097.00;-0.14;0.01;0.35;Positive
31149.00;-0.20;0.05;0.23;Positive
31198.00;-0.17;0.08;0.17;Positive
31248.00;-0.04;0.01;0.53;Positive
31298.00;0.10;-0.21;1.08;Positive
31347.00;-0.07;-0.21;1.49;Positive
31395.00;0.01;-0.16;1.84;Positive
31448.00;0.10;-0.07;1.93;Positive
31494.00;0.17;-0.03;1.54;Positive
31545.00;0.14;-0.00;1.08;Positive
31596.00;0.08;-0.02;0.74;Positive
31647.00;-0.01;-0.02;0.39;Positive
31696.00;-0.08;-0.02;0.03;Positive
31747.00;-0.16;0.03;0.10;Positive
31797.00;0.00;-0.06;0.67;Positive
31863.00;0.23;-0.22;1.27;Positive
31914.00;0.12;-0.07;1.44;Positive
31964.00;0.23;0.07;1.96;Positive
32015.00;0.28;0.20;1.84;Positive
32063.00;0.23;0.15;1.47;Positive
32115.00;0.13;0.10;1.08;Positive
32164.00;0.06;0.00;0.70;Positive
32215.00;-0.04;0.00;0.26;Positive
32263.00;-0.12;0.07;0.17;Positive
32313.00;-0.09;0.08;0.33;Positive
32362.00;0.07;0.02;0.85;Positive
32414.00;0.22;-0.01;1.46;Positive
32461.00;0.03;-0.04;1.60;Positive
32513.00;0.10;-0.08;1.87;Positive
32579.00;0.14;-0.00;1.71;Positive
32627.00;0.16;0.04;1.37;Positive
32681.00;0.05;0.03;0.88;Positive
32730.00;-0.03;0.10;0.38;Positive
32781.00;-0.12;0.03;0.29;Positive
32829.00;-0.16;-0.01;0.23;Positive
32879.00;-0.12;-0.09;0.42;Positive
32930.00;0.10;-0.14;1.19;Positive
32981.00;0.24;-0.17;1.66;Positive
33027.00;0.30;-0.52;1.69;Positive
33081.00;0.27;-0.61;1.27;Positive
33130.00;0.01;-0.05;0.61;Positive
33181.00;0.11;0.57;0.93;Positive
33229.00;0.10;0.94;1.08;Positive
33281.00;0.09;0.57;1.01;Positive
33331.00;0.23;-0.33;1.13;Positive
33380.00;0.30;-0.79;1.36;Positive
33444.00;0.22;-0.74;1.17;Positive
33494.00;0.11;0.09;1.04;Positive
33545.00;0.09;0.83;0.95;Positive
33596.00;-0.01;1.02;0.91;Positive
33648.00;0.08;0.53;0.97;Positive
33694.00;0.35;-0.41;1.15;Positive
